,วันที 09 เดือน กุมภาพันธ์ พ.ศ.,2565 เวสา 18:36,และพาณิชย์ (ฉบับที,ร่างพระราชบัญญัติ แก้ไขเพิ่มเติมประมวลกฎหมายแพ่ง - - -
267,419,นายสิริพงศ์ อังคสกุลเกียรติ,พรรคภูมิใจไทย,เห็นด้วย
268,ฮี43,นายสุรศักดิ์ พันธ์เจริญวรกุส,พรรคภูมิใจไทย,เห็นด้วย
269,«451,นายโสภณ ซารัมย์,พรรคภูมิใจไทย,เห็นด้วย
270,455,นายอดิพงษ์ ฐิติพิทยา,พรรคภูมิใจไทย,เห็นด้วย
271,«459,นายอนาวิล รัตนสถาพร,พรรคภูมิใจไทย,เห็นด้วย
2712,871,นายอภิชา เลิศพชรกมส,พรรคภูมิใจไทย,เห็นด้วย
213,894,นายเอกการ สื่อทรงธรรม,พรรคภูมิใจไทย,เห็นด้วย
264,4688,นายอาสพลธ์ สรรถณ์ไตรภพ,พรรคภูมิใจไทย,ไม่เห็นด้วย
265,088,นายสวาป เผ่าประทาน,พรรคภูมิใจไทย,งคออกเสียง
276,256,นางสาวเพชรดาว โต๊ะมีนา,พรรคภูมิใจไทย,งตออกเสียง
277,366,นายศุภชัย ใจสมุทร,พรรศภูมิใจไทย,งตออกเสียง
218,482,นายอับตุลบาซิม อานู,พรรคภูมิใจไทย,งตออกเสียง
269,379,นายสมเจตน์ ลิมปะพันธุ์,พรรคภูมิใจไทย,ไม่ลงคะแนนเสียง
280,078,นายเจเศรษฐ์ ไทยเศรษฐ์,พรรคภูมิใจไทย,- -
281,153,นายธนยศ ทิมสุวรรณ,พรรคภูมิใจไทย,-
282,291,นายยศวัฒน์ มาไพศาสสิน,พรรคภูมิใจไทย,-
283,313,นายวรศิษฎ์ เลียงประสิทธิ์,พรรคภูมิใจไทย,-
284,358,นายศักดิ์สยาม ชิดซอบ,พรรคภูมิใจไทย,
285,368,นายศุภชัย โพธิ์สุ,พรรคภูมีใจไทย,-
286,8063,นายอนูทิน ซาญวีรกูล,พรรคภูมิใจไทย,
287,489,นายอํานาจ วจิลาวัลย์,พรรคภูมิใจไทย,-
288,030,นายเกษมสันต์ มีทิพย์,พรรคก้าวไกล,เห็นด้วย
289,038,นายขวัญเลิศ พานิชมาท,พรรคก้าวไกล,เห็นด้วย
,,,,หน้า 10/ 1.1521
ลําตับท,เตขที่บัตร,ชื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
290,250,นายพีรเดซ คําสมุทร,พรรคก้าวไกล,เห็นต้วย
291,ศๆ75,นางอมรัตน์ โซคปฏมิตต์กุล,พรรคก้าวไกล,เห็นด้วย
292,ๆ97,นายเอกภาพ เพียรพิเศษ,พรรคก้าวไกล,เห็นด้วย
2093,013,นายกัญจน์พงศ์ จงสุทธนามณี,พรรคก้าวไกล,ไม่เห็นด้วย
294,045,นายคําพอง เทพาคํา,พรรคก้าวไกล,ไม่เห็นด้วย
295,046,นายจรัส คุ้มไข่น้า,พรรคก้าวไกล,ไม่เห็นด้วย
296,065,นายจิรวัฒน์ อรัณยกานนท์,พรรคก้าวไกล,ไม่เห็นด้วย
2097?7,ภิ6์6์,นายจิรัฏรฐ์ ทองสุวรรณ์,พรรคก้าวไกล,ไม่เห็นด้วย
2990,085,พันตํารวจตรี ซวลิต เลาหอุดมพันธ์,พรรคก้าวไกล,ไม่เห็นด้วย
299,109,นางสาวญาณธิขา บัวเผื่อน,พรรคก้าวไกล,ไม่เห็นด้วย
300,115,นางสาวณธีภัสร์ กุลเศรษฐสิทธิ์,พรรคก้าวไกล,ไม่เห็นด้วย
5301,119,นายณ์ฐชา บุญไซยอินสวัสดิ์,พรรศก้าวไกล,ไม่เห็นด้วย
302,120,นายณ์จุพงษ์ เรืองปัญญาวุฒิ,พรรคก้าวไกล,ไม่เห็นด้วย
3503,122,นายณ์ฐพล สืบศักดิ์วงศ์,พรรคก้าวไกล,ไม่เห็นด้วย
30ส,124,นายณัฐวุฒิ บัวประทุม,พรรคก้าวไกล,ไม่เห็นด้วย
205,138,นายทวีศักดิ์ ทักษิณ,พรรคก้าวไกล,ไม่เห็นด้วย
3206,139,นายทศพร ทองศิริ,พรรคก้าวไกล,ไม่เห็นด้วย
207,140,นายทองแดง เบ็ญจะปัก,พรรคศคก้าวไกล,ไม่เห็นด้วย
208,148,นายเท่าพิภพ ลิ้มจิตรกร,พรรคก้าวไกล,ไม่เห็นด้วย
509,156,นายมานพ คีรีภูวดล,พรรคก้าวไกส,ไม่เห็นด้วย
310,160,นายธัญวัจน์ กมลวงศ์วัฒน์,พรรคก้าวไกล,ไม่เห็นด้วย
311,ไดอธ์,นายรธีรัจชัย พันธุมาศ,พรรคก้าวไกล,ไม่เห็นด้วย
312,180,นายนิติพส ผิวเหมาะ,พรรคก้าวไกล,ไม่เห็นด้วย
213,199,นางสาวเบญจา แสงจันทร์,พรรคก้าวไกส,- ไม่เห็นด้วย
3214,201,นายปกรณ์วุฒิ อุดมพิพัฒน์สกุล,พรรคคก้าวไกล,ไม่เห็นด้วย
315,203,นายปติพัทธ์ สันติภาตา,พรรคก้าวไกล,ไม่เห็นด้วย
316,215,นายประเสริฐพงษ์ ศรนุวัตร์,พรรคค้าวไกล,ไม่เห็นด้วย
ว17,216,นายปริญญา ช่วยเกต คีรีรัตน์,พรรคก้าวไกล,ไม่เห็นด้วย
3185,281,นายพิจารณ์ เซาวพัฒนวงศ์,พรรคก้าวไกล,ไม่เห็นด้วย
319,245,นายพิธา ลิ้มเจริญรัตน์,พรรคก้าวไกล,ไม่เห็นต้วย
320,5300,นายรังสิมันต์ โรม,พรรคก้าวไกส,ไม่เห็นด้วย
321,310,นายวรภพ วิริยะโรจน์,พรรคก้าวไกส,ไม่เห็นด้วย
322,311,นางสาววรรณาวรี ตะสอมสิน,พรรคก้าวไกส,ไม่เห็นด้วย
,,,,หน้า 11/ 1.1521
ลําตับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนน
4323,312,นางสาววรรณวิภา ไม้สน,พรรคก้าวไกล,ไม่เห็นด้วย
224,226,นายวาโย อัศวรุ่งเรือง,พรรคก้าวไกล,ไม่เห็นด้วย
325,3847,นายวุฒินันท์ บุญชู,พรรคคก้าวไกล,ไม่เห็นด้วย
226,357,นายศักดินบัย นุมหนู่,พรรคก้าวไกส,ไม่เห็นด้วย
327,361,นางสาวศิริกัญญา ตันสกุล,พรรคก้าวไกล,ไม่เห็นด้วย
298,3,นายสมเกียรติ ไชยวิสุทธิกุล,พรรคก้าวไกล,ไม่เห็นด้วย
329,375,นายสมเกียรติ ถนอมสินธุ์,พรรคก้าวไกล,ไม่เห็นด้วย
3230,381,นายสมซาย ฝังชลจิตร,พรรคก้าวไกส,ไม่เห็นด้วย
331,425,นางสาวสุทธาวรรณ สุบรรณ ณ อยุธชยา,พรรคก้าวไกล,ไม่เห็นด้วย
332,428,นายสุเทพ อู่อัน,พรรคก้าวไกล,ไม่เห็นด้วย
323323,431,พสตํารวจตรวีสุพิศาล ภักดืนถุนาถ,พรรคก้าวไกล,ไม่เห็นด้วย
334,437,นายสุรเชษฐ์ ประวีณวงศ์วุฒิ,พรรคก้าวไกล,ไม่เห็นด้วย
335,440,รองศาสตราจารย์สุรวาท ทองบุ,พรรคก้าวไกล,ไม่เห็นด้วย
336,452,นายองค์การ ชัยบูตร,พรรคก้าวไกล,ไม่เห็นด้วย
337,ๆู73,นายอภิขชาติ ศิริสุนทร,พรรคก้าวไกล,ไม่เห็นด้วย
338,04ห่,'นายคารม ฑพลพรกลาง,พรรคก้าวไกล,
339,002,ศาสตราจารย์กนก วงษ์ตระหง่าน,พรรคประซาธิปัตย์,เห็นด้วย
3ๆ0,016,นายพิสิฐ ลี้อาธรรม,พรรคประชาธิปัตย์,เห็นด้วย
3241,031,นายเกียรติ สิทธิอมร,พรรคประขาธิปัตย์,เห็นด้วย
342,0ม651,นางสาวจิตภัสร์ ตั้น กฎตากร์,พรรคประซาธิปัตย์,เห็นด้วย
243,071,นายอิสระ เสรีวัฒนวุฒิ,พรรคประซาธิปัตย์,เห็นด้วย
3ห,073,นายจุรินทร์ ลักษณวิศิษภ์,พรรคประชาธิปัตย์,เห็นด้วย
245,093,นายขัยวุฒิ บูรรณวัฒน์,พรรคประซาธิปัตย์,เห็นด้วย
346,09,นายชินวรณ์ บุณยเกียรติ,พรรศประซาธิปัตย์,เห็นด้วย
3ๆ7,129,นายเตขอิศม์ ขาวทอง,พรรคประชาธิปัตย์,เห็นด้วย
308,13ศ,นางสาวสุภาพร กําเนิดผล,พรรคประซาธิปัตย์,เห็นด้วย
349,147,นายเทอดพงษ์ ไชยนบันทน์,พรรคประชาธิปัตย์,เห็นด้วย
250,161,นายธารา ปิตุเตซะ,พรรคประชาธิปัตย์,เห็นด้วย
351,173,นายนริศ ขําบุรักษ์,พรรคประขาธิปัตย์,เห็นด้วย
352,189,นางสาวแนน บุณย์ธิดา สมชัย,พรรคประชาธิปัตย์,เห็นด้วย
353,190,นายบัญญัติ เจตนจันฟร์,พรรคประขาธีปัตย์,เห็นด้วย
354ๆ4,191,นายบัญญัติ บรรทัดฐาน,พรรคประซาธิปัตย์,เห็นด้วย
255,204,'นายบระกอบ รัตนพันธ์,พรรคประชาธิปัตย์,เห็นด้วย
,,,,หน้า 12/ 1.1521
ลําดับที่,เลขที่บัตร,ซื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนน
356,209,นายประมวล พงศ์ถาวราเตซ,พรรคประชาธิปัตย์,เห็นด้วย
จ5,208,นางสาวพิมพ์ภัทรา วิชัยกุล,พรรคประซาธิปัตย์,เห็นด้วย
358,251,นางสาวพิมพ์รพี พันธุ์วิขาติกุล,พรรคประชาธีปัตย์,เห็นด้วย
559,268,นายภาษุ ศรีบูศยกาญจน์,พรรคประซาธิปตย์,เห็นด้วย
360,2176,นายมนตรี ปาบ้อยนนท์,พรรคประชาธิปัตย์,เห็นด้วย
361,301,นางสาวรังสิมา รอดรัศมี,พรรคประขาธิปัตย์,เห็นด้วย
2%62,308,นางสาววซิราภรณ์ กทกาญจนะ,พรรคประชาธิปัตย์,เห็นด้วย
363,336,นายวิวรรธน์ บิลวัชรมณี,พรรคประขาธิปัตย์,เห็นด้วย
ไ264,3468,นายวุฒิพงษ์ นามบุตร,พรรคประชาธิปัตย์,เห็นด้วย
365,255,นางศรีสมร รัศมีฤกษ์เศรษฐ์,พรรศประขาธิปัตย์,เห็นด้วย
266,5263,นางศิริวรรณ ปราศจากศัตร,พรรคประชาธิปัตย์,เห็นด้วย
236 7,380,นายสมขาติ ประดิษฐพร,พรรคประขาธิปัตย์,เห็นด้วย
368,398,นายสราว5 อ่อนละมัย,พรรคประซาธิปัตย์,เห็นด้วย
9369,ๆ408,นายสาคร เกียวข้อง,พรรคประชาธิปัตย์,เห็นด้วย
370,409,นายสาทิตย์ วงศ์หนองเตย,พรรคประชาธิปัตย์,เห็นด้วย
371,4ๆ15,พันโทสินธพ แก้วพิจิตร,พรรคประชาธีปัตย์,เห็นด้วย
372,41ไ6,นายสินิตย์ เลิศไกร,พรรคประซาธิปบัตย์,เห็นด้วย
2573,428,นางสาวสุณ์ธุชา โสสถาพรพิพิธ,พรรคประชาธีปัตย์,เห็นด้วย
3 8,453,นายองอาจ คล้ามไพบูลย์,พรรคประชาธีปัตย์,เห็นด้วย
375,4สง,นายสุทัศน์ เงินหมื่น,พรรคประชาธิปัตย์,เห็นด้วย
376,478,นายอัศรเดช วงษ์พิทักษ์โรจน์,พรรคประซาธิปิตย์,เห็นด้วย
ว277,228,นายพนิต วิกิตเศรษฐ์,พรรคประชาธิปัตย์,ไม่เห็นด้วย
378,084,นายชวน หลีกภัย,พรรคประขาธิปัตย์,งตออกเสียง
3709,44,พลตํารวจตรีสุรินทร์ ปาลาเร,พรรคประชาธิปัตย์,งดออกเสียง
2580,014,นางกันตวรรณ ต้นเถียร,พรรคประขาธิปัตย์,-
381,089,นายชัยชนะ เคดขเตโซ,พรรคประซาธิปัตย์,-
5382,ใดช้2,นายธีรภัทร พริ่งศุลกะ,พรรคประชาธิปัตย์,
363,343,นายวิระขัย วิระเมธีกุล,พรรคประชาธิปัตย์,-
3ิ84,410,นายสาจิต ปิตุเตขะ,พรรคประชาธิปัตย์,-
385,งไป0,นายอภิชัย เตชะอุบล,พรรคประชาธิปัตย์,
386,481],นายอันวาร์ สศาและ,พรรคประชาธิปัตย์,-
287,8484,นายอัศวีน วิฏศิริ,พรรคประชาธิปัตย์,-
388,2092,นายจักพันธ์ ปิยพรไพบูลย์,พรรคประขาธิปัตย์,-
,,,,หน้า 13/ 1.1521
สําดับที่,เลขที่บัตร,ซื่อ-สกุส,ซื่อสังกัด,ผลการลงคะแนน
389,028,นายเกษม ศุภรานนท์,พรรคเศรษฐกิจไทย,เห็นด้วย
39ถ0,051,นางสาวจอมขวัญ กลับบ้านเกาะ,พรรคเศรษฐกิจไทย,เห็นด้วย
391,117,นายณัฏธพล จรัสรพีพงษ์,พรรคเศรษฐกิจไทย,เห็นด้วย
392,116,นายยุทธนา โพธสุธน,พรรคเศรษฐกิจไทย,เห็นด้วย
2%93,154,นายธนะสิทธิ์ โควสุรัตน์,พรรคเศรษฐกิจไทย,เห็นด้วย
994,155,นายธนบัสถ์ ทวีเกื้อกูลกิจ,พรรคเศรษฐกิจไทย,เห็นด้วย
395,219,นายปัญญา จีนาคํา,พรรคเศรษฐกิจไทย,เห็นด้วย
396,225,นายไผ่ ลิกค์,พรรคเศรษฐกิจไทย,เห็นด้วย
39,231,ผู้ช่วยศาสตราจารย์พรขัย อินทร์สุข,พรรคเศรษฐกิจไทย,เห็นด้วย
ว2ว98,265,นายภาคภูมิ บูลย์ประมูข,พรรคเศรษฐกิจไทย,เห็นด้วย
1299,288,พลตํารวจเอก ยงยุทธ เทพจํานงค,พรรคเศรษฐกิจไทย,เห็นด้วย
400,ๆ401,นายสะถิระ เผือกประพันธุ์,พรรคเศรษฐกิจไทย,เห็นด้วย
ศุ01,175,นายสมศักดิ์ คุณเงิน,พรรคเศรษฐกิจไทย,งดออกเสียง
402,069,นายจีรเดช ศรีวิราช,พรรคเศรษฐกิจไทย,
ๆ03,157,นายธรรมบัส พรหมเผา,พรรคเศรษฐกิจไทย,
404,1968,นายบุญสิงห์ วรีนทร์รักษ์,พรรคเศรษฐกิจไทย,-
405,072,นายเผดิมขัย สะสมทรัพย์,พรรคขาติไทยพัฒนา,เห็นด้วย
06,074,นายจุสพันธ์ โนนศรีชัย,พรรคชาติไทยพัฒนา,เห็นด้วย
807,125,นายณ์ฐวุฒิ ประเสริฐสุวรรณ,พรรคชาติไทยพัฒนา,เห็นด้วย
408,165,นายธีระ วงศ์สมุทร,พรรคชาติไทยพัฒนา,เห็นด้วย
4ๆ09,170,นายนพลดล บาตรศรี,พรรคซาติไทยพัฒนา,เห็นด้วย
410,178 ,บายบิกร จํานง,พรรคชาติไทยพัฒนา,เห็นด้วย
411,240,นายพาณุวัฒณ์ สะสมทรัพย์,พรรคชาติไทยพัฒนา,เห็นด้วย
412,315,พายววราวุธิ ศิลปอาชา,พรรคชาติไทยพัฒนา,เห็นด้วย
ๆ113,2964,นายสรขัต สุจิตต์,พรรคชาติไทยพัฒนา,เห็นด้วย
4ี16,449,นายเสมอกัน เทียงธรรม,พรรคชาติไทยพัฒนา,เห็นด้วย
415,465,นายอนุรักษ์ จุรีมาศ,พรรคขาติไทยพัฒนา,เห็นด้วย
416,207,นายประภัตร โพธสุธน,พรรคชาติไทยพัฒนา,
ๆ17,210,นายประสงค์ บูรณ์พงศ์,พรรคเสริรวมไทย,เห็นด้วย
ๆ18,30494,นายเรวัต วิศรูตเวช,พรรคเสร็รวมไทย,ไม่เห็นด้วย
419,332,นายวิรัตน์ วรศสิริน,พรรคเสร็ีรวมไทย,ไม่เห็นด้วย
420,336,พสตํารวจโทวิศณุ มวงแพรสี,พรรคเสร็รวมไทย,ไม่เห็นด้วย
421,450,พลตํารวจเอกเสรีพิศทธ์ เตมียเวส,พรรคเสรีรวมไทย,ไม่เห็นด้วย
,,,,หน้า 14/ 1 1.1521
ลําตับที่,เลขที่บัตร,ซชื่อ-สกุล,ซือสังกัด,ผลการลงคะแนน
422,4ๆ49บ0,นายอําไพ กองมณี,พรรคเสร็รวมไทย,ไม่เห็นด้วย
423,152,นนางสาวธนภร โสมทองแดง,พรรคเสรีรวมไทย,
424,172,นางสาวนภาพร เพีชร์จินตา,พรรคเสรีรวมไทย,-
ยๆ25,254,นบนายเพชร เอกกําสังกุล,พรรคเสร็รวมไทย,-
126,318,นายวัชรา ณ วจังขนาย,พรรคเสร็รวมไทย,
427,4ได้ณี,นายอนุมัติ ซูสารย,พรรคประชาซาติ,เห็นด้วย
ๆ28,003,นายกมลศักดิ์ ลิวาเมาะ,พรรคประชาชาติ,งดออกเสียง
429,026,นายกูเอง ยาวอหะขัน,พรรคประชาชาติ,งตดออกเสียง
430,108,นายซูการ์โน มะทา,พรรคประชาชาติ,งตออกเสียง
431],388,นายสมมูติ เป็ญจลักษณ์,พรรคประชาชาติ,งตออกเสียง
432,483,นายอับตุลอายี สาแม็ง,พรรคประชาชาติ,งดออกเสียง
ๆ433,3295,พันตํารวจเอก ทวี สอดส่อง,พรรคประชาชาติ,
4364,223,นางสาวป๊ยะรัฐชย์ ติยะไพรัช,พรรคเพื่อซาติ,ไม่เห็นด้วย
435,25ธ7,นายเพชรารรต วัฒนพงศศิริกุล,พรรคเพือชาติ,-
436,306,นางลินตา เชิตชัย,พรรคเพื่อชาติ,-
4ๆ437,2351,นายศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อชาติ,-
438,371,นายสงคราม กิจเลิศไพโรจน์,พรรคเพื่อชาติ,
439,487,นายอารี ไกรนรา,พรรคเพือชาติ,-
ๆี40,269,นายภาสกร เงินเจริญกุล,พรรคเศรษฐกิจใหม่,เห็นด้วย
481,219,นายมนูญ สิวาภิรมย์รัตน์,พรรคเศรษฐกิจใหม่,เห็นด้วย
4412,285,นางมารครี ขจรเรืองโรจน์,พรรคเศรษฐกิจใหม่,เห็นด้วย
4413,286,นายมิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,เห็นด้วย
[จงสน,4320,นายสุภติข อากาศกฤกษ์,พรรคเศรษฐกิจใหม่,เห็นด้วย
ๆ4ๆ5,183,นายนิยม จิวรรธนดิฐกุล,พรรคเศรษฐกิจใหม่,-
4ไ46,169,นษายนพตล แก้วสุพัฒน์,พรรคพลังท้องถินไท,เห็นด้วย
00,011,นางสาวกวินนาถ ตาคีย์,พรรคพลังท้องถินไท,ไม่เห็นด้วย
448,034,ศาสตราจารย์โกวิทย์ พวงงาม,พรรคพลังท้องถินไท,ไม่เห็นด้วย
449,059,นายจารีก ศรีอ่อน,พรรคพลังห้องถินไท,ไม่เห็นด้วย
4150,087?,นบนายช้ชวาสล์ คงอุดม,พรรคพลังท้องถินไท,-
4ๆ451,255,นษางสุเนตตา แซ่โก๊ะ,พรรครวมพลังประชาชาติไทย,เห็นด้วย
452,469,นางสาวอนุสวี ทับสุวรรณ,พรรครวมพลังประชาชาติไทย,เห็นด้วย
453,039,นายเชตรัฐ เหสาธรรมทัศน์,พรรครวมพลังประขาขาติไทย,-
454,057,นางสาวจุฑาฑัตต เหล่าธรรมทัศน์,พรรครวมพลังประชาชาติไทย,-
,,,,หน้า 15/ 1.1521
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
456,ฯๆ29,นายสุพล จุลไส,พรรครวมพลังประชาชาติไทย,
456,126,นายตถ เหต ระกูล,พรรคชาติพัฒนา,เห็นด้วย
457,ไม6,นายเทวัญ สิปตพัลลภ,พรรคขาติพัฒนา,เห็นด้วย
458,316,นายวัชรพส โตมรศักดิ์,พรรคขาติพัฒนา,เห็นด้วย
ๆ459,5%92,นายสมัคร ป้องวงษ์,พรรคชาติพัฒนา,เห็นด้วย.
460,390,นายสมศักดิ์ พันธ์เกษม,,เห็นด้วย
461,319,นายวัฒนา ขางเหลา, ๓,-
462,498,นายเอกราช ข่างเหลา,,-
0463,128,นายดํารงค์ พิเดช,พรรศรักษ์ผืนป่าประเทศไทย,ไม่เห็นด้วย
ไดขี,290,นายยรรยงก์ ถนอมพิชัยธํารง,พรรครักษ์ผืนป่าประเทศไทย,-
465,218,นายปรีดา บุญเพลิง,พรรคครูไทยเพื่อประชาชน,เห็นด้วย
ไ6้6,273,นายมงคลกิตตี้ สุขสินธารานนท์,พรรคไทยศรีวิไลย์,ไม่เห็นด้วย
46ธ,ง04,นายพิระวิทย์ เรืองลิอดลภาค,พรรคไทรักธรรม,ไม่เห็นด้วย
468,438,นายสุรทิน พิจารณ์,พรรคประชาธิปไตยใหม่,ไม่เห็นด้วย
469,๒0,นางนันทนา สงฆ์ประชา,พรรคประขาภิวัฒน์,เห็นด้วย
70,2365,บางสาวศีลับมพา เลิศนุวัฒน์,พรรคพลเมืองไทย,ไม่เห็นด้วย
47],135,นางบุญญาพร นาตะธนภัทร,พรรคพลังชาติไทย,เห็นด้วย
412,296,นายระวิ มาศฉผูมาตล,พรรคพลังธรรมใหม่,เห็นด้วย
ๆ73,179,นายนิคม 'บุญวิเศษ,พรรคพลังปวงชนไทย,
4สงก,041,นายคฑาเคศพ เตชะเดชเรื่องกุล,พรรคเพื่อชาติไทย,เห็นด้วย
เครื่องหมาย, ๓,(ยัติภังค์) หมายถึง ผู้ไม่ลงมติ/ผู้ลาประชุม/ผู้ขาดการประชุม,,
,ผู้ปฏิบัติหน้าที่ประธานในที่ประชุม,,,
นายซชวน,หลิกภัย,ประธานสภาผู้แทนราษฎร,,
