,วันที 09 เดือน กุมภาพันธ์ พ.ศ.,2565 เวสา 18:36,และพาณิชย์ (ฉบับที,ร่างพระราชบัญญัติ แก้ไขเพิ่มเติมประมวลกฎหมายแพ่ง - - -
5ส4,496,นายเอกธนัช อินทร์รอด,พรรคเพื่อไทย,ไม่เห็นด้วย
55,500,นายโอชิษฐ์ เกียรติก้องซูชัย,พรรคเพื่อไทย,ไม่เห็นด้วย
5ค์,001,นายกนก ลิ้มตระกูล,พรรคเพื่อไทย,-
5,018,นายการณ โหสกุล,พรรคเพื่อไทย,-
58,019,นายกิตติ สมทรัพย์,พรรคเพื่อไทย,
,,,,หน้า 3/ 1.1521
สําตับที่,เลขที่บัตร,ซื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
59,020,นายกิตติกร ใล่ห์สุนทร,พรรคเพื่อไทย,-
6์0,027,นายเกรียงศักดิ์ ฝ้ายสีงาม,พรรคเพื่อไทย,
ธ์1,029,นายเกษม อุบระ,พรรคเพื่อไทย,-
62,037,นายขจิตร ขัยนิคม,พรรคเพื่อไทย,-
6ว,042,นายคมเตซช ไขยศีว่ามงคล,พรรคเพื่อไทย,-
6น,06843,นายครูมานิตย์ สังข์พุ่ม,พรรคเพื่อไทย,-
65,ก0417,นายจตุพร เจริญเชื้อ,พรรคเพื่อไทย,
66,053,นายจักรพรรดิ ไขยสาสัน,พรรคเพื่อไทย,-
ย์ภั,062,นายจ๊รทัศ ไกรเดซา,พรรคเพื่อไทย,
68,068,นายจิรายุ ห่วงทรัพย์,พรรคเพื่อไทย,-
6ธ9,083,นายชลสนาน ศรีแก้ว,พรรคเพื่อไทย,-
+0,086,นายชวลิต วิชยสุทธิ์,พรรคเพื่อไทย,
71,090,นายขัยยันต์ ผลสุวรรณ์,พรรคเพื่อไทย,
',099,นายชูวิทย์ พิทักษ์พรพัลลภ,พรรคเพื่อไทย,-
73,101,นายชูศักดิ์ แอกทอง,พรรคเพื่อไทย,-
8,103,นายเซชิดพงศ์ ราชป้องขันธ์,พรรคเพื่อไทย,
5,107,นายไชยา พรหมา,พรรคเพื่อไทย,
76,123,นายณ์ฐวุฒิ กองจันทร์ติ,พรรคเพื่อไทย,
-ซ7,127,นายตะนัย มะหิพันธ์,พรรคเพื่อไทย,-
78,131,นายตี้ใหญ่ พูนศรีธนากูล,พรรคเพื่อไทย,
+19,123,นายไตรรงค์ ติธรรม,พรรคเพื่อไทย,-
80,164,นายธีระ ไตรสรณกุล,พรรคเพื่อไทย,-
81,168,นายนพคุณ รัฐผไท,พรรคเพื่อไทย,
82,171 ,นายนุพพล เหลืองทองนารา,พรรคเพื่อไทย,-
83,1884,นายนิยม เวชกามา,พรรคเพื่อไทย,-
84,185,นายน็รบิต สุจารี,พรรคเพื่อไทย,-
85,186,นายนิรันตร์ นาเมืองรักษ์,พรรคเพื่อไทย,-
86,192,นายบัลลังก์ อรรณนพพร,พรรคศเพื่อไทย,-
87,193,นายบุญแก้ว สมวงศ์,พรรคเพื่อไทย,-
88,205,นายประเดิมชัย บุญช่วยเหลือ,พรรคเพื่อไทย,-
89,212,นายประสิทธิ์ ซุฒินันขัย,พรรคเพื่อไทย,-
9วถก,213,นายประเสริธฐ จันทรรวงทอง,พรรคเพื่อไทย,-
9ๆ1,214,นายประเสริฐ บุญเรือง,พรรคเพื่อไทย,
,,,,หน้า 4/ 1.1521
ลําดับที่,เลขที่บัตร,ชื่อ-สกุล,ชื่อสังกัด,ผลการลงคะแนน
92,222,นายปิยวัฒน พันธ์สายเชื้อ,พรรคเพื่อไทย,-
93,2329,นายพรเทพ วิสุทธิ์วัฒนศักดิ์,พรรคเพื่อไทย,-
9ศุ,234,นางพรเพ็ญ บุญศิริวัฒนกุล,พรรคเพื่อไทย,-
95,237,นายพลภูมิ วิภัติภูมิประเทศ,พรรคเพื่อไทย,-
96,239,นายพัฒนา สัพโส,พรรคเพื่อไทย,-
9,243,นายพิเซษฐ์ เชื้อเมืองพาน,พรรคเพื่อไทย,-
98,258,นายไพจิต ศรีวรขาน,พรรคเพื่อไทย,-
99,260,นายไพโรจน์ โล่ห์สุนทร,พรรคเพื่อไทย,-
100,262,นายภณณ์ภูจุ์ ศรีอินทร์สุทธิ์,พรรคเพื่อไทย,-
101,266,นายภาควัต ศรีสุรพล,พรรคเพื่อไทย,-
102,27ั6,นายมนตรี ตั้งเจริญถาวร,พรรคเพื่อไทย,
103,282,นาไยมานะ โลหะวณิชย์,พรรคเพื่อไทย,-
1064,283,นายมานะศักดิ์ จันทร์ประสงค์,พรรคเพื่อไทย,-
105,287,นางมุกตดา พงษ์สมบัติ,พรรคเพื่อไทย,-
106,292,นายยุทธพงศ์ จรัสเสถียร,พรรคเพื่อไทย,-
107,202,นายรัฐกิตติ์ ผาลิพัฒน์,พรรคเพื่อไทย,-
108,320,นายวัน อยู่ป่ารุง,พรรคเพื่อไทย,
109,2021,นายวันขัย เจริญนนทสิทธิ์,พรรคเพื่อไทย,-
110,2235,นายวิวัฒน์ขัย โหตระไวศยะ,พรรคเพื่อไทย,
111,27ๆ9,นายวีระพล จิตสัมฤทธิ์,พรรคเพื่อไทย,-
112,5305,นายวิระวัฒน์ โอสถานุเคราะห์,พรรคเพื่อไทย,-
113,346,นายวุฒิซัย กิตติธเนศวร,พรรคเพื่อไทย,
11ๆ,2302,นายศราวุธี เพชรพนมพร,พรรคเพื่อไทย,
115,3556,นายศักดา คงเพชร,พรรคเพื่อไทย,-
1ไ16,367,นายศุภชัย นพขํา,พรรคเพื่อไทย,-
117,ร378,นายสมคิด เชื้อคง,พรรคเพื่อไทย,-
118,387,นายสมพงษ์ อมรวิวัฒน์,พรรคเพื่อไทย,
119,397,นางสาวสรัสบนันท์ อรรณนพพร,พรรคเพื่อไทย,-
120,4่022,นายสุขาติ ภิญโญ,พรรคเพื่อไทย,-
