id,title,name,lastname,party,is_mp,is_senator,is_cabinet,is_active,votelog.__1,votelog.__2,votelog.__3,votelog.__4,votelog.__5,votelog.__6,votelog.__7,votelog.__8,votelog.__9,votelog.__10,votelog.__11,votelog.__12,votelog.__13,votelog.__14,votelog.__26,votelog.__27,votelog.__28,votelog.__29,votelog.__30,votelog.__31,votelog.__32,votelog.__33,votelog.__34,votelog.__35,votelog.__36,votelog.__37,votelog.__38,votelog.__39,votelog.__40,votelog.__41,votelog.__42,votelog.__43,votelog.__44,votelog.__45,votelog.__46,votelog.__47,votelog.__48,votelog.__49,votelog.__50,votelog.__51,votelog.__52,votelog.__53,votelog.__54,votelog.__55,votelog.__56,votelog.__57,votelog.__58,votelog.__59,votelog.__60,votelog.__61,votelog.__62,votelog.__63,votelog.__64,votelog.__65,votelog.__66,votelog.__67,votelog.__68,votelog.__69,votelog.__70,votelog.__71,votelog.__72,votelog.__73,votelog.__74,votelog.__75,votelog.__76,votelog.__77,votelog.__78,votelog.__79,votelog.__80,votelog.__81,votelog.__82,
202,นาย,นิพันธ์,ศิริธร,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,4,4,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,
203,นาย,นิยม,ช่างพินิจ,เพื่อไทย,1,0,0,1,2,1,1,1,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,, ,,1,1,,1,1,1,,1,,1,2,2,,2,
204,นาย,นิยม,วิวรรธนดิฐกุล,เศรษฐกิจใหม่,1,0,0,1,2,1,1,4,1,3,4,4,4,4,4,4,4,2,1,1,3,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,,1,,1,1,,1,1,,,,,,,,,,
205,ดร.,นิยม,เวชกามา,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,,1,,1,,,,,1,1,2,2,2,,
206,นาย,นิรมิต,สุจารี,เพื่อไทย,1,0,0,1,2,2,4,1,1,3,4,1,4,4,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1,1,,1,1,1,1,1,2,,,2,,,
207,นาย,นิรันดร์,นาเมืองรักษ์,เพื่อไทย,1,0,0,1,2,2,4,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,,,1,1,1,1,,2,2,2,,
208,นาย,นิรามาน,สุไลมาน,อนาคตใหม่,1,0,0,0,2,3,1,1,4,3,1,1,4,1,2,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
209,นาย,นิโรธ,สุนทรเลขา,พลังประชารัฐ,1,0,0,1,1,2,1,2,4,1,1,1,2,4,1,1,4,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,4,2,2,,1,,,2,1,1,1,1,
210,นางสาว,แนน บุณย์ธิดา,สมชัย,ประชาธิปัตย์,1,0,0,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,,,,,,2,1,1,1,
211,นายแพทย์,บัญญัติ,เจตนจันทร์,ประชาธิปัตย์,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,
212,นาย,บัญญัติ,บรรทัดฐาน,ประชาธิปัตย์,1,0,0,1,1,2,3,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,,1,1,1,1,
213,นาย,บัลลังก์,อรรณนพพร,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,1,,1,,1,1,,1,,,,2,,2,,
214,นาย,บุญแก้ว,สมวงศ์,เพื่อไทย,1,0,0,1,2,2,4,4,4,3,4,1,4,1,4,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1,1,,,,,,,,,2,2,,,
215,นาย,บุญฐิณ,ประทุมลี,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,,1,,2,,2,
216,นาง,บุญยิ่ง,นิติกาญจนา,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,4,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,1,1,1,2,2,1,1,1,1,2,1,1,1,1,
217,นาง,บุญรื่น,ศรีธเรศ,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,4,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,,1,1,,1,1,1,,,,,1,2,2,2,2,
218,ดร.,บุญลือ,ประเสริฐโสภา,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,4,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,,1,1,1,1,2,1,1,1,1,
219,นาย,บุญสิงห์,วรินทร์รักษ์,เศรษฐกิจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,4,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,,2,2,,,,,,2,1,2,,
220,นางสาว,เบญจา,แสงจันทร์,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,1,,1,2,2,1,1,1,1,1,1,1,,2,2,2,2,2,
221,นาย,ปกรณ์,มุ่งเจริญพร,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,,1,,1,1,2,1,1,1,1,
222,นาย,ปกรณ์วุฒิ,อุดมพิพัฒน์สกุล,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,1,,,2,2,1,,1,1,1,1,1,2,2,2,2,2,2,
223,นาย,ปฐมพงศ์,สูญจันทร์,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1, ,,1,1,1,1,2,1,1,1,1,
224,นาย,ปดิพัทธ์,สันติภาดา,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,,,,,2,1,,1,1,1,1,1,,,2,2,2,2,
225,นาย,ประกอบ,รัตนพันธ์,ประชาธิปัตย์,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,
226,นาย,ประเดิมชัย,บุญช่วยเหลือ,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,4,4,4,2,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,2,,,
227,นาย,ประทวน,สุทธิอำนวยเดช,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,,1,2,2,1,1,1,1,2,1,1,1,1,
228,ดร.,สาธิต,ปิตุเตชะ,ประชาธิปัตย์,1,0,1,1,1,4,4,4,1,1,4,4,2,4,1,4,4,2,1,1,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,,,,,1,,1,,,,,1,,,,,1,,
229,นาย,ประภูศักดิ์,จินตะเวช,เพื่อไทย,1,0,0,1,2,2,4,1,1,3,1,1,4,1,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,2,2,2,2,
230,นาย,ประมวล,พงศ์ถาวราเดช,ประชาธิปัตย์,1,0,0,1,1,2,1,2,1,1,1,1,2,1,4,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,,,4,2,1,1,1,1,3,1,1,1,1,
231,นายแพทย์,ประสงค์,บูรณ์พงศ์,เสรีรวมไทย,1,0,0,1,2,4,2,4,1,3,1,4,4,1,3,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,1,1,2,2,2,1,
232,นาย,ประสิทธิ์,มะหะหมัด,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,4,2,1,1,4,2,2,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
233,นาย,ประสิทธิ์,วุฒินันชัย,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,1,1,1,,1,,,,,,,2,2,,,
234,นาย,ประเสริฐ,จันทรรวงทอง,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1,1,,,,,,,,1,,,,,
235,นาย,ประเสริฐ,บุญเรือง,เพื่อไทย,1,0,0,1,2,2,4,4,4,3,4,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,1,,,1,1,1,1,1,,1,,,3,2,2,,
236,นาย,ประเสริฐพงษ์,ศรนุวัตร์,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,,1,,2,2,1,,1,1,1,,1,2,2,2,2,2,2,
237,นาย,ปริญญา,ช่วยเกตุ คีรีรัตน์,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,1,,,2,2,1,1,1,1,1,1,1,,2,2,2,2,2,
238,นาย,ปริญญา,ฤกษ์หร่าย,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,4,3,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,1,1,1,2,1,2,2,1,1,1,1,3,1,1,1,1,
239,นาย,ปรีดา,บุญเพลิง,ครูไทยเพื่อประชาชน,1,0,0,1,1,2,4,4,4,1,1,1,2,1,1,4,4,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,1,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,,,,1,1,2,1,2,2,1,1,1,1,,2,1,1,1,
240,นาย,ปัญญา,จีนาคำ,เศรษฐกิจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,4,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,,1,,3,2,1,2,1,
241,นางสาว,ปารีณา,ไกรคุปต์,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,หยุดปฏิบัติหน้าที่ (15.02.2022)
242,ดร.,ปิยบุตร,แสงกนกกุล,อนาคตใหม่,1,0,0,0,2,1,1,1,2,3,1,1,4,1,3,4,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
243,นาย,ปิยวัฒน,พันธ์สายเชื้อ,เพื่อไทย,1,0,0,1,2,1,4,1,1,3,1,4,4,1,4,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,2,2,2,,
244,นางสาว,ปิยะรัฐชย์,ติยะไพรัช,เพื่อชาติ,1,0,0,1,2,2,1,1,4,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,,,,,,1,,1,1,1,1,1,1,,2,2,2,2,
245,นาง,ผ่องศรี,แซ่จึง,เพื่อไทย,1,0,0,1,2,2,4,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,1,2,2,2,2,
246,นาย,ไผ่,ลิกค์,เศรษฐกิจไทย,1,0,0,1,1,2,1,2,4,1,4,1,2,1,1,4,2,4,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,1,2,1,2,2,,,,,,2,,2,1,
247,พลโท ดร.,พงศกร,รอดชมภู,อนาคตใหม่,1,0,0,0,2,1,1,1,2,3,1,1,4,1,2,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
248,นาย,พงศ์กวิน,จึงรุ่งเรืองกิจ,พลังประชารัฐ,1,0,0,1,1,2,3,2,1,1,1,4,2,4,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,,1,2,1,,,1,1,1,1,2,1,1,1,,
249,นาย,พนิต,วิกิตเศรษฐ์,ประชาธิปัตย์,1,0,0,1,1,2,2,2,1,1,1,4,1,1,1,1,2,2,1,1,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1,1,2,
250,นาย,พยม,พรหมเพชร,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,,
251,นาย,พรชัย,อำนวยทรัพย์,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,4,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,,1,2,1,2,2,1,,1,1,2,1,1,1,1,
252,นาย,พรชัย,อินทร์สุข,เศรษฐกิจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,4,1,1,2,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,,1,,1,,,2,1,2,1,
253,นาย,พรเทพ,วิสุทธิ์วัฒนศักดิ์,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,4,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,2,2,,,
254,นางสาว,พรพิมล,ธรรมสาร,ภูมิใจไทย,1,0,0,1,2,2,1,4,1,3,4,4,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,2,1,1,4,4,4,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,4,1,1,,1,1,1,1,2,1,2,1,1,,1,1,2,2,1,1,1,
255,นาง,พรเพ็ญ,บุญศิริวัฒนกุล,เพื่อไทย,1,0,0,1,2,2,1,1,4,4,1,1,4,4,3,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,1,,,,1,,1,1,1,,1,1,,2,2,2,,
256,ดร.,พรรณสิริ,กุลนาถศิริ,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,,1,2,2,1,1,1,1,2,1,1,1,1,
257,นางสาว,พรรณิการ์,วานิช,อนาคตใหม่,1,0,0,0,2,1,1,1,2,3,1,4,4,1,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
258,นาย,พลภูมิ,วิภัติภูมิประเทศ,เพื่อไทย,1,0,0,1,2,2,1,1,1,4,1,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,,,1,1,1,1,,2,,1,,
259,ดร.,พัชรินทร์,ซำศิริพงษ์,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,,1,1,2,1,1,1,1,
260,นาย,พัฒนา,สัพโส,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,1,4,1,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,1,,1,,,,,,,,,,,
261,ดร.,พาณุวัฒณ์,สะสมทรัพย์,ชาติไทยพัฒนา,1,0,0,1,1,2,3,2,1,1,1,4,2,4,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,3,1,3,3,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,,,,,,,,,,1,1,1,1,3,1,1,1,1,
262,นาย,พิจารณ์,เชาวพัฒนวงศ์,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,2,1,1,1,1,1,1,,,,1,2,1,1,,1,,,,,2,2,2,2,2,
263,นาง,พิชชารัตน์,เลาหพงศ์ชนะ,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,4,1,2,1,1,1,2,2,3,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,,1,,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
264,นาย,พิเชษฐ,สถิรชวาล,พลังประชารัฐ,1,0,0,1,1,2,2,2,1,1,1,4,2,1,1,4,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,1,,1,2,1,2,2,1,1,1,1,1,4,,1,1,
265,ดร.,พิเชษฐ์,เชื้อเมืองพาน,เพื่อไทย,1,0,0,1,2,2,1,1,1,3,1,4,4,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,1,1,,,,1,1,1,,1,2,,,,
266,นาย,พิธา,ลิ้มเจริญรัตน์,ก้าวไกล,1,0,0,1,2,1,4,1,2,3,1,4,4,4,2,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,1,3,3,4,1,1,1,1,1,1,,,,,,1,,,,1,1,1,2,2,2,2,2,2,
267,นาย,พิบูลย์,รัชกิจประการ,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,,,1,,1,1,1,1,
268,นางสาว,พิมพ์พร,พรพฤฒิพันธุ์,พลังประชารัฐ,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,
269,นางสาว,พิมพ์ภัทรา,วิชัยกุล,ประชาธิปัตย์,1,0,0,1,1,2,1,2,1,1,1,1,2,4,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,,,1,1,1,1,3,1,1,1,1,
270,นาย,พิษณุ,พลธี,ภูมิใจไทย,1,0,0,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,,,,,1,1,1,1,
271,นาย,พีรเดช,คำสมุทร,ก้าวไกล,1,0,0,1,2,1,1,1,2,3,1,1,4,1,2,4,2,4,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,4,3,1,3,1,3,1,1,1,1,1,1,1,3,1,4,2,4,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,
272,นาย,พีระพันธุ์,สาลีรัฐวิภาค,ประชาธิปัตย์,1,0,0,0,1,1,2,2,1,1,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
273,ดร.,พีระเพชร,ศิริกุล,เพื่อไทย,1,0,0,1,2,2,1,1,1,4,1,1,4,4,3,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,,1,1,,1,1,,,,,,2,2,2,2,
274,นาย,ณัฏฐพล,ทีปสุวรรณ,พลังประชารัฐ,1,0,1,0,1,4,1,2,1,1,1,4,2,4,1,4,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
275,นาย,เพชร,เอกกำลังกุล,เสรีรวมไทย,1,0,0,1,2,1,3,1,1,3,4,4,4,1,4,1,4,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,,,2,,,1,,,,1,1,1,1,,2,2,,,
276,นางสาว,เพชรชมพู,กิจบูรณะ,รวมพลังประชาชาติไทย,1,0,0,0,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,-,
