47,282,นบนายมานะ โลหะวูณิชย์,พรรคเพื่อไทย,ไม่เห็นด้วย
48,283,นายมานะศักดิ์ จันทร์ประสงค์,พรรคเพือไทย,ไม่เห็นด้วย
ๆ9,287,นางมุกตา พงษ์สมบัติ,พรรคเพือไทย,ไม่เห็นด้วย
50,2097,นายรั้งสรรค์ มณีรัตน์,พรรคเพื่อไทย,ไม่เห็นด้วย
51,298,นบายรังสรรค์ วันไขยธนวงศ์,พรรคเพื่อไทย,ไม่เห็นด้วย
590,3202,นายรัฐกิตตี์ ผาลีพัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
53,205,นางสาวสะออง ติยะไพรัช,พรรคเพื่อไทย,ไม่เห็นด้วย
54,30,นายเลิศศักดิ์ พัฒนขัยกุล,พรรคเพื่อไทย,ไม่เห็นด้วย
509,216,นายวรสิทธิ์ กัสป์ติบันท์,พรรคเพื่อไทย,ไม่เห็นด้วย
56์,2291,นายวันขัย เจริญนนทสิทธิ์,พรรคเพื่อไทย,ไม่เห็นด้วย
5ก,3223,นายวันนิวัติ สมบูรณ์,พรรคเพื่อไทย,ไม่เห็นด้วย
58,328,นายวิทยา ทรงคํา,พรรคเพื่อไทย,ไม่เห็นด้วย
,,,กลุ่มงานรายงานการประซุม สํานักรายงานการประขุมและชวเลข,
,,,,หน้า 3/ 1.1518
สําดับที่,เลขที่บัตร,ซื่อ-สกุล,ซื่อสังกัด,ผลการลงคะแนน
59,3237,นายวิสาร เตซะธีราวัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
60,339,นายวิสิษฐ์ เตชะธีราวัฒน์,พรรคเพื่อไทย,ไม่เห็นด้วย
6์1,36840,นายวิสุทธิ์ ไชยณรุณ,พรรคเพื่อไทย,ไม่เห็นด้วย
62,4ๆ4,นายวีระพล จิตสัมฤทธิ์,พรรคเพื่อไทย,ไม่เห็นด้วย
5653,%50,นายศรัณย์ ทิมสุวรรณ,พรรคเพื่อไทย,ไม่เห็นด้วย
54,354,นายศรีเรศ โกฎคําลือ,พรรคเพื่อไทย,ไม่เห็นด้วย
65,370,นางสาวสกุณา สาระนันท์,พรรคเพื่อไทย,ไม่เห็นด้วย
56,372,นายสงวน พงษ์มณี,พรรคเพื่อไทย,ไม่เห็นด้วย
6ก,291],นางสมหญิง บัวบุตร,พรรคเพื่อไทย,ไม่เห็นด้วย
