0,1,2,3,4,5
56, 001,นายกนก ลิ้มตระกูล,พรรค.เพื่อไทย,ตอ,
57,018,นายการุณ โหสกุล,พรรคเพื่อไทย,.,
58,019,นายกิตติ สมทรัพย์,พรรคเพื่อไทย,.๒.,
,,..,,,
,,,,หน้า 3/ 1.1521,
 ลำดับที่,เลขทีบัตร,ชือ-สกุล,ชื่อสังกัด,ผลการลงคะแนน,
59,020,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,ก.,
60,027,นายเกรียงศักดิ์ ฝ้ายสีงาม,พรรคเพื่อไทย,..,
61,029,นายเกษม อุประ,พรรคเพื่อไทย,.,
62,037,นายขจิตร ชัยนิคม,พรรคเพื่อไทย,-,
63,042,นายคมเดช ไชยศิวามงคล,พรรคเพื่อไทย,ก.,
64,043,นายครูมานิตย์ สังข์พุ่ม,พรรคเพือไทย,=,
65,047,นายจตุพร เจริญเชื้อ,พรรค.เพื่อไทย,=,
66,053,นายจักรพรรดิ ไชยสาส์น,พรรคเพือไทย,ะ,
67,062,นายจิรทัศ ไกรเดชา,พรรคเพือไทย,..,
68,068,นายจิรายุ ห่วงทรัพย์,พรรค.เพือไทย,.,
69,083,นายชลนาน ศรี..ก้า,พรรคเพือไทย,.,
70,086,นายชาลิต วิชยสุทธิ์,พรรคเพือไทย,=,
71,090,นายขัยยันต์ ผลสุวรรณ์,พรรคเพื่อไทย,=,
72,099,นายชูวิทย์ พิทักษ์พรพัลลภ,พรรคเพื่อไทย,=,
73,101,นายขูศักดิ์ แอกทอง,พรรคเพื่อไทย,ก.,
74,103,นายเชิดพงศ์ ราชป้องขันธ์,พรรค.พือไทย,=,
75,107,นายไชยา พรหมา,"พรรค.,เพื่อไทย",.,
76,123,นายณัฐวุฒิ กองจันทร์ดี,พรรค.เพือไทย,..,
77,127,นายดะนัย มะทิพันธ์,พรรคเพือไทย,.,
78,131,นายตี๋ใหญ่ พูนศรีธนากูล,พรรคเพื่อไทย,=,
79,133,นายไตรรงค์ ติธรรม,พรรคเพือไทย,ก.,
80,164,นายธีระ ไตรสรณกุล,พรรคเพือไทย,_:,
81,168,นายนพคุณ รัฐผไท,พรรค.พือไทย,..,
82,171,นายนพพล เหลืองทองนารา,พรรคเพื่อไทย,..,
83,184,นายนิยม เวชกามา,พรรค.:เพือไทย,-,
84,185,นายนิรมิต สุจารี,พรรคเพื่อไทย,อ.,
85,186,นายนิรันดร์ นาเมืองรักษ์,พรรคเพือไทย,=,
86,192,นายบัลลังก์ อรรณนพพร,พรรคเพือไทย,.,
87,193,นายบุญแก้ว สมวงศ์,พรรค.เพือไทย,.,
88,205,นายประเดิมชัย บุญ ช่วยเหลือ,พรรค.เพื่อไทย ..,..,
89,212,นายประสิทธิ์ วุฒินันชัย,พรรคเพื่อไทย,.,
90,213,นายประเสริฐ จันทรรวงทอง,พรรคเพือไทย,-,
9:,214,นายประเสริฐ บุญเรือง,พรรคเพื่อไทย,.=,
,,,,หน้า 4/ 1.1521,
ลำดับที่,เลขที่บัตร,ชือ-สกุล,ขื่อสังกัด,ผลการลงคะแนน,
92,222,นายปียวัฒน พันธ์สาย.เชื้อ,พรรค.เพือไทย,.,
93,232,นายพรเทพ วิสุทธิ์วัฒนศักดิ์,พรรค.พื่วไทย,อ,
94,234,นางพรเพ็ญ บุญศิริวัฒนกุล,พรรค.พือไทย,ไ.,
95,237,นายพลภูมิ วิภัติภูมิประเทศ,พรรคเพือไทย,ก.,
96,239,นายพัฒนา สัพโส,พรรคเพือไทย,ู,
97,243,นายพิเชษฐ์ เชื้อเมืองพาน,พรรคเพือไทย,=,
98,258,นายไพจิต ศรีวรขาน,พรรคเพือไทย,=,
99,260,นายไพโรจน โลท์สุนทร,พรรคเพื่อไทย,.,
100,262,นายภณณัฏฐ์ ศรีอินทร์สุทธิ์,พรรคเพื่อไทย,.,
101,266,นายภาควัต ศรีสุรพล,พรรค.เพื่อไทย,.,
102,276,นายมนตรี ตั้งเจริญถาวร,พรรค.พือไทย,=,
103,282,นายมานะ โลหะวณิชย์,"พรรค,เพื่อไทย",.,
104,283,นายมานะศักดิ์  จันทร์ประสงค์,พรรค.เพือไทย,=,
105,287,นางมุกดา พงษ์สมบัติ,พรรคเพือไทย,-,
106,292,นายยุทธพงศ์ จรัสเสถียร,พรรคเพื่อไทย,อ,
107,302,นายรัฐกิตติ์ ผาลีพัฒน์,พรรคเพื่อไทย,ร,
108,320,นายวัน อยู่บำรุง,พรรคเพื่อไทย,ตู,
109,321,นายวันชัย  เจริญนนทสิทธิ์,พรรค.เพื่อไทย,-,
